1.jpg: uiqm=0.4691657726227666, uciqe=0.544988430158474
152.jpg: uiqm=0.3869515908137391, uciqe=0.5103209418114913
153.jpg: uiqm=0.4899712534507268, uciqe=0.544237617545281
154.jpg: uiqm=0.9948723635886877, uciqe=0.5654783577489315
155.jpg: uiqm=0.04527032957363797, uciqe=0.511418410362183
156.jpg: uiqm=0.9718905185233427, uciqe=0.5381574948924865
157.jpg: uiqm=0.24723051342431634, uciqe=0.5152385632147943
158.jpg: uiqm=0.20009509318054575, uciqe=0.5136157980952014
159.jpg: uiqm=0.311441916949571, uciqe=0.5294361903657033
16.jpg: uiqm=0.49495583824028055, uciqe=0.554650300117561
160.jpg: uiqm=0.1236619270185223, uciqe=0.5085263554221385
161.jpg: uiqm=0.4178407000329821, uciqe=0.556401822159925
162.jpg: uiqm=0.4094791569194576, uciqe=0.5563429849261862
163.jpg: uiqm=0.6020610875745761, uciqe=0.5495827750518244
164.jpg: uiqm=0.35740387617034575, uciqe=0.5596452499878697
165.jpg: uiqm=0.32686945060524164, uciqe=0.5584516318978792
166.jpg: uiqm=0.49040510911709245, uciqe=0.5399455237533041
167.jpg: uiqm=0.447773187512024, uciqe=0.5561839709868963
168.jpg: uiqm=0.42802969848022665, uciqe=0.5577655499235558
169.jpg: uiqm=0.4163217773945924, uciqe=0.5577915468802449
17.jpg: uiqm=1.057135274090217, uciqe=0.5574184889757043
170.jpg: uiqm=0.280099695054009, uciqe=0.5571412107820205
171.jpg: uiqm=0.31915689513832146, uciqe=0.5562741889360353
172.jpg: uiqm=0.5135504625360049, uciqe=0.5551901516995841
173.jpg: uiqm=0.23571833329765124, uciqe=0.5564771326149229
174.jpg: uiqm=0.17283512530712197, uciqe=0.5568567962541969
175.jpg: uiqm=0.22517095332442083, uciqe=0.5555233471869577
176.jpg: uiqm=0.7925815752942507, uciqe=0.5637908047744703
177.jpg: uiqm=0.13979255764897403, uciqe=0.556156169247309
178.jpg: uiqm=0.4964430028230784, uciqe=0.5445371301317172
179.jpg: uiqm=0.8772754682557946, uciqe=0.5646701935482267
18.jpg: uiqm=0.7111889600200124, uciqe=0.5497700767492051
180.jpg: uiqm=0.4894584277234273, uciqe=0.5465090437619132
181.jpg: uiqm=0.45065993077239974, uciqe=0.5002929076021652
182.jpg: uiqm=0.4737084703931793, uciqe=0.5111601101849665
183.jpg: uiqm=0.2926741658133739, uciqe=0.5479232607557794
19.jpg: uiqm=0.9386137060530453, uciqe=0.5354266668898535
2.jpg: uiqm=0.9476291816966351, uciqe=0.5658743624844289
20.jpg: uiqm=0.5783151611288208, uciqe=0.5335916563621302
21.jpg: uiqm=0.49943156501501884, uciqe=0.5261210083201336
22.jpg: uiqm=0.9699454951759815, uciqe=0.5879968064512444
23.jpg: uiqm=0.9313515289155699, uciqe=0.5864704618859438
24.jpg: uiqm=0.9904998098535186, uciqe=0.5719024623890914
25.jpg: uiqm=0.5732494679209453, uciqe=0.5564619591739085
26.jpg: uiqm=0.8593323537971879, uciqe=0.5539962773359706
27.jpg: uiqm=0.48181727226740323, uciqe=0.5324208772675139
28.jpg: uiqm=0.43775839197811484, uciqe=0.51923866489912
29.jpg: uiqm=0.8254099926546491, uciqe=0.5415164875139227
3.jpg: uiqm=0.10534474610918487, uciqe=0.5340421246272897
30.jpg: uiqm=0.724277291060809, uciqe=0.5524820304906379
31.jpg: uiqm=0.4793610069812726, uciqe=0.5472030013164293
32.jpg: uiqm=0.7645196400235611, uciqe=0.550648710505313
33.jpg: uiqm=0.3835674311584647, uciqe=0.5594037494640431
34.jpg: uiqm=0.3960133962377145, uciqe=0.5678606321811314
35.jpg: uiqm=0.21414571961431583, uciqe=0.5353513680575516
36.jpg: uiqm=0.25937317762596346, uciqe=0.545780057771199
37.jpg: uiqm=0.24265213181802348, uciqe=0.5477388764823495
38.jpg: uiqm=0.28660245388659933, uciqe=0.5289093735393553
39.jpg: uiqm=0.3160694966240357, uciqe=0.5345857576595117
4.jpg: uiqm=0.5206910538975621, uciqe=0.5210572180828063
40.jpg: uiqm=0.13908566787285592, uciqe=0.5257280546916796
41.jpg: uiqm=0.1326372872773004, uciqe=0.5268436273954866
42.jpg: uiqm=0.41989381024507455, uciqe=0.5626718765609767
43.jpg: uiqm=0.18769719061271772, uciqe=0.5219708049573059
44.jpg: uiqm=0.15288697354346625, uciqe=0.5366427287984606
45.jpg: uiqm=0.16527515314476826, uciqe=0.5335918129263594
46.jpg: uiqm=0.11728568065048772, uciqe=0.5356271872750834
47.jpg: uiqm=0.13925449910496845, uciqe=0.5374943332357455
48.jpg: uiqm=0.029189151701526694, uciqe=0.5408462074540444
49.jpg: uiqm=0.5915951572791524, uciqe=0.5904322423952535
5.jpg: uiqm=0.4717515403089817, uciqe=0.5145224826620154
50.jpg: uiqm=0.6443791622613418, uciqe=0.5868732163177384
51.jpg: uiqm=0.45644853330203894, uciqe=0.542210132763808
52.jpg: uiqm=0.4228423494566279, uciqe=0.5539404654926593
53.jpg: uiqm=0.4972493085482458, uciqe=0.540965515783591
54.jpg: uiqm=0.4223368987503753, uciqe=0.5564380809677487
55.jpg: uiqm=0.45684914504366037, uciqe=0.5533494165598235
56.jpg: uiqm=0.3571371912481267, uciqe=0.5509906511502928
57.jpg: uiqm=0.4098277936781869, uciqe=0.5568467510725857
58.jpg: uiqm=0.49890528010230084, uciqe=0.5358592749492305
59.jpg: uiqm=0.4134852178388452, uciqe=0.5555815224201828
6.jpg: uiqm=0.4748734982416788, uciqe=0.5219731079975806
60.jpg: uiqm=0.12186567796855441, uciqe=0.549481516392674
61.jpg: uiqm=0.12381550103861827, uciqe=0.5407518284699729
62.jpg: uiqm=0.0829182148123061, uciqe=0.5183045608069735
63.jpg: uiqm=0.6357558386049349, uciqe=0.5795797462883184
64.jpg: uiqm=0.42580818604652027, uciqe=0.5706870989532243
65.jpg: uiqm=0.5486242973891908, uciqe=0.563408381588022
66.jpg: uiqm=0.320227810936062, uciqe=0.550204586978189
67.jpg: uiqm=0.06611225479387106, uciqe=0.5244299882399841
68.jpg: uiqm=0.1590856545079118, uciqe=0.5482371996488217
69.jpg: uiqm=0.1764395362031238, uciqe=0.5442494992691931
7.jpg: uiqm=0.46407891799912904, uciqe=0.5200037213433595
70.jpg: uiqm=0.18551462230647786, uciqe=0.545218389110929
71.jpg: uiqm=0.19340624384919758, uciqe=0.546385239955271
72.jpg: uiqm=0.2069287049569828, uciqe=0.5452068954563424
73.jpg: uiqm=0.1966146696004183, uciqe=0.5445810805626535
74.jpg: uiqm=0.28144830300496027, uciqe=0.5524797227160676
75.jpg: uiqm=0.20244002253343485, uciqe=0.5434334006712427
76.jpg: uiqm=0.18648820141292488, uciqe=0.5450738583976776
77.jpg: uiqm=0.3800046853931466, uciqe=0.5543968711752761
78.jpg: uiqm=0.3676376579363919, uciqe=0.5548599691393751
79.jpg: uiqm=0.19896752826913333, uciqe=0.5448313320396145
8.jpg: uiqm=0.4445142961144929, uciqe=0.5130065228811159
80.jpg: uiqm=0.5180834020023184, uciqe=0.5512758921926226
81.jpg: uiqm=0.623938106866029, uciqe=0.5504693062880552
82.jpg: uiqm=0.4568576515902195, uciqe=0.5464367811646471
83.jpg: uiqm=0.13943544434436428, uciqe=0.5365811691657381
84.jpg: uiqm=0.31586441109840624, uciqe=0.5489236303129166
85.jpg: uiqm=0.3102287273263794, uciqe=0.5485981987468816
86.jpg: uiqm=0.11481497596305512, uciqe=0.5456277773246365
87.jpg: uiqm=0.45457735024485757, uciqe=0.5395791753550788
88.jpg: uiqm=0.17147439849372703, uciqe=0.5556221494674812
89.jpg: uiqm=0.17627151853195988, uciqe=0.5584604211401357
9.jpg: uiqm=0.47158368486608726, uciqe=0.5411717552832428
90.jpg: uiqm=0.7430027339364487, uciqe=0.5269861858343656
91.jpg: uiqm=0.735315509450946, uciqe=0.5288219015329281
92.jpg: uiqm=0.8707171725128736, uciqe=0.5336103806158388
93.jpg: uiqm=0.9088790006037877, uciqe=0.5235836287270083
94.jpg: uiqm=0.8539843129308972, uciqe=0.5131030570379558
95.jpg: uiqm=0.818472676382176, uciqe=0.5115743204088179
96.jpg: uiqm=0.7862962635098257, uciqe=0.5332071179937422
97.jpg: uiqm=0.8424700272247136, uciqe=0.5351970140164749
98.jpg: uiqm=0.4707497191007206, uciqe=0.5356903999586773
99.jpg: uiqm=0.5974063169927076, uciqe=0.5403034996502091

Average: uiqm=0.4579553267472144, uciqe=0.5442271730359891

